time,source_IP,destination_IP,source_Port,destination_Port,package_length
4.061454,192.168.212.37,39.1.101.199,3659,3659,69
4.073465,39.1.101.199,192.168.212.37,3659,3659,69
4.083395,192.168.212.37,39.1.101.199,3659,3659,69
4.094406,39.1.101.199,192.168.212.37,3659,3659,69
4.105375,192.168.212.37,39.1.101.199,3659,3659,69
4.11535,39.1.101.199,192.168.212.37,3659,3659,69
4.127317,192.168.212.37,39.1.101.199,3659,3659,69
4.137293,39.1.101.199,192.168.212.37,3659,3659,69
4.148856,192.168.212.37,39.1.101.199,3659,3659,69
4.157389,39.1.101.199,192.168.212.37,3659,3659,69
4.170348,192.168.212.37,39.1.101.199,3659,3659,69
4.178327,39.1.101.199,192.168.212.37,3659,3659,69
4.19229,192.168.212.37,39.1.101.199,3659,3659,69
4.198278,39.1.101.199,192.168.212.37,3659,3659,69
4.214231,192.168.212.37,39.1.101.199,3659,3659,69
4.219796,39.1.101.199,192.168.212.37,3659,3659,69
4.235813,192.168.212.37,39.1.101.199,3659,3659,69
4.239804,39.1.101.199,192.168.212.37,3659,3659,64
4.239804,39.1.101.199,192.168.212.37,3659,3659,69
4.257462,192.168.212.37,39.1.101.199,3659,3659,69
4.261451,39.1.101.199,192.168.212.37,3659,3659,69
4.294363,39.1.101.199,192.168.212.37,3659,3659,69
4.297355,192.168.212.37,39.1.101.199,3659,3659,69
4.302341,39.1.101.199,192.168.212.37,3659,3659,69
4.324283,39.1.101.199,192.168.212.37,3659,3659,69
4.32528,192.168.212.37,39.1.101.199,3659,3659,69
4.348219,39.1.101.199,192.168.212.37,3659,3659,69
